2026-01-13 14:25:24,956 - ERROR - __main__ - 无法推送消息：to_user_id为None, message_id=544, session_id=chat_1_225298ba, from_user_id=1, role=user, chat_session={'id': 135, 'session_id': 'chat_1_225298ba', 'user_id': 1, 'agent_id': None, 'status': 'pending', 'created_at': datetime.datetime(2026, 1, 13, 14, 25, 21), 'started_at': None, 'closed_at': None}
2026-01-13 14:27:37,722 - ERROR - __main__ - 无法推送消息：to_user_id为None, message_id=545, session_id=chat_1_9ac8052e, from_user_id=1, role=user, chat_session={'id': 136, 'session_id': 'chat_1_9ac8052e', 'user_id': 1, 'agent_id': None, 'status': 'pending', 'created_at': datetime.datetime(2026, 1, 13, 14, 27, 34), 'started_at': None, 'closed_at': None}
2026-01-13 14:45:10,570 - ERROR - __main__ - 无法推送消息：to_user_id为None, message_id=561, session_id=chat_1_327c6f13, from_user_id=1, role=user, chat_session={'id': 139, 'session_id': 'chat_1_327c6f13', 'user_id': 1, 'agent_id': None, 'status': 'pending', 'created_at': datetime.datetime(2026, 1, 13, 14, 45, 6), 'started_at': None, 'closed_at': None}
2026-01-13 17:26:28,255 - ERROR - __main__ - 无法推送消息：to_user_id为None, message_id=610, session_id=chat_1_8c61b34e, from_user_id=1, role=user, chat_session={'id': 149, 'session_id': 'chat_1_8c61b34e', 'user_id': 1, 'agent_id': None, 'status': 'pending', 'created_at': datetime.datetime(2026, 1, 13, 17, 26, 23), 'started_at': None, 'closed_at': None}
2026-01-13 17:26:35,545 - ERROR - __main__ - 无法推送消息：to_user_id为None, message_id=611, session_id=chat_1_8c61b34e, from_user_id=1, role=user, chat_session={'id': 149, 'session_id': 'chat_1_8c61b34e', 'user_id': 1, 'agent_id': None, 'status': 'pending', 'created_at': datetime.datetime(2026, 1, 13, 17, 26, 23), 'started_at': None, 'closed_at': None}
2026-01-13 17:29:24,892 - ERROR - __main__ - 无法推送消息：to_user_id为None, message_id=612, session_id=chat_1_fdaf2c61, from_user_id=1, role=user, chat_session={'id': 150, 'session_id': 'chat_1_fdaf2c61', 'user_id': 1, 'agent_id': None, 'status': 'pending', 'created_at': datetime.datetime(2026, 1, 13, 17, 29, 19), 'started_at': None, 'closed_at': None}
2026-01-13 17:29:28,749 - ERROR - __main__ - 无法推送消息：to_user_id为None, message_id=613, session_id=chat_1_fdaf2c61, from_user_id=1, role=user, chat_session={'id': 150, 'session_id': 'chat_1_fdaf2c61', 'user_id': 1, 'agent_id': None, 'status': 'pending', 'created_at': datetime.datetime(2026, 1, 13, 17, 29, 19), 'started_at': None, 'closed_at': None}
2026-01-13 17:47:51,272 - ERROR - __main__ - 无法推送消息：to_user_id为None, message_id=622, session_id=chat_1_ae242275, from_user_id=1, role=user, chat_session={'id': 154, 'session_id': 'chat_1_ae242275', 'user_id': 1, 'agent_id': None, 'status': 'pending', 'created_at': datetime.datetime(2026, 1, 13, 17, 47, 44), 'started_at': None, 'closed_at': None}
2026-01-13 17:47:55,228 - ERROR - __main__ - 无法推送消息：to_user_id为None, message_id=623, session_id=chat_1_ae242275, from_user_id=1, role=user, chat_session={'id': 154, 'session_id': 'chat_1_ae242275', 'user_id': 1, 'agent_id': None, 'status': 'pending', 'created_at': datetime.datetime(2026, 1, 13, 17, 47, 44), 'started_at': None, 'closed_at': None}
2026-01-13 19:00:10,842 - ERROR - __main__ - 无法推送消息：to_user_id为None, message_id=627, session_id=chat_1_8cf6821c, from_user_id=1, role=user, chat_session={'id': 156, 'session_id': 'chat_1_8cf6821c', 'user_id': 1, 'agent_id': None, 'status': 'pending', 'created_at': datetime.datetime(2026, 1, 13, 19, 0, 5), 'started_at': None, 'closed_at': None}
2026-01-13 19:00:15,923 - ERROR - __main__ - 无法推送消息：to_user_id为None, message_id=628, session_id=chat_1_8cf6821c, from_user_id=1, role=user, chat_session={'id': 156, 'session_id': 'chat_1_8cf6821c', 'user_id': 1, 'agent_id': None, 'status': 'pending', 'created_at': datetime.datetime(2026, 1, 13, 19, 0, 5), 'started_at': None, 'closed_at': None}
